a7,code,person_need,person_know,person_job,person_edu,edu,job1,edu_knows,job_knows,edu_knows_orig,job_knows_orig,L_knows,L_knows_norm
122.0,1228.0,3.0,1.0,25.0,3.0,3.0,0.0,1.3972776,-0.6247571,1.0,0.0,-0.0543822,0.3326167
123.0,1235.0,,0.0,,,2.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
123.0,1236.0,,0.0,,,1.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
123.0,1237.0,,0.0,,,3.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
123.0,1238.0,2.0,1.0,6.0,3.0,3.0,0.0,1.3972776,-0.6247571,1.0,0.0,0.905911,0.64971906
123.0,1239.0,3.0,1.0,17.0,3.0,4.0,17.0,-0.71551174,1.6002363,0.0,1.0,0.9594045,0.6673834
124.0,1244.0,,0.0,,,1.0,1.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
124.0,1245.0,,0.0,,,3.0,17.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
124.0,1246.0,3.0,1.0,25.0,,2.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-0.10136469,0.3171024
124.0,1248.0,,0.0,,,3.0,18.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
124.0,1249.0,,0.0,,,4.0,9.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
125.0,1251.0,2.0,1.0,4.0,2.0,2.0,0.0,1.3972776,-0.6247571,1.0,0.0,0.905911,0.64971906
125.0,1252.0,2.0,1.0,4.0,2.0,2.0,8.0,1.3972776,-0.6247571,1.0,0.0,0.905911,0.64971906
125.0,1253.0,2.0,1.0,0.0,3.0,3.0,8.0,1.3972776,-0.6247571,1.0,0.0,0.905911,0.64971906
125.0,1254.0,3.0,1.0,13.0,3.0,2.0,13.0,-0.71551174,1.6002363,0.0,1.0,0.9594045,0.6673834
125.0,1255.0,3.0,1.0,0.0,3.0,3.0,4.0,1.3972776,-0.6247571,1.0,0.0,0.905911,0.64971906
125.0,1256.0,3.0,1.0,9.0,3.0,3.0,17.0,1.3972776,-0.6247571,1.0,0.0,0.905911,0.64971906
125.0,1257.0,2.0,1.0,4.0,3.0,3.0,0.0,1.3972776,-0.6247571,1.0,0.0,0.905911,0.64971906
125.0,1258.0,2.0,1.0,0.0,2.0,3.0,0.0,-0.71551174,1.6002363,0.0,1.0,0.9594045,0.6673834
125.0,1259.0,3.0,1.0,25.0,3.0,3.0,25.0,1.3972776,1.6002363,1.0,1.0,1.96668,1.0
126.0,1261.0,3.0,1.0,4.0,2.0,3.0,8.0,-0.71551174,-0.6247571,0.0,0.0,-0.10136469,0.3171024
126.0,1262.0,,0.0,,,2.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
126.0,1263.0,3.0,1.0,4.0,3.0,3.0,14.0,1.3972776,-0.6247571,1.0,0.0,0.905911,0.64971906
126.0,1264.0,3.0,1.0,9.0,4.0,4.0,9.0,1.3972776,1.6002363,1.0,1.0,1.96668,1.0
126.0,1267.0,2.0,1.0,0.0,2.0,2.0,8.0,1.3972776,-0.6247571,1.0,0.0,0.905911,0.64971906
126.0,1268.0,3.0,1.0,17.0,3.0,3.0,17.0,1.3972776,1.6002363,1.0,1.0,1.0063869,0.6828976
126.0,1269.0,,0.0,,,2.0,8.0,-0.71551174,-0.6247571,0.0,0.0,-1.0616579,-7.332227e-17
200.0,2001.0,,,,,3.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
200.0,2006.0,,,,,3.0,4.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
200.0,2008.0,,,,,3.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
200.0,2009.0,,,,,2.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
201.0,2011.0,,,,,2.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
201.0,2012.0,,,,,3.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
201.0,2013.0,,,,,2.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
201.0,2014.0,,,,,4.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
201.0,2017.0,,,,,2.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
201.0,2018.0,,,,,3.0,9.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
201.0,2019.0,,,,,3.0,0.0,-0.71551174,-0.6247571,0.0,0.0,-0.6389753,0.13957576
