y3,y7,tribe,born_kga,move_kga,inc_mo,inc_wk,possessions,y9,y10,read3,read4,read6,read7,red_poor,red_if,tax_who1,tax_who2,tax_who3,tax_who4,tax_who5,tax_who6,tax_who7,trust4,trust5,trust6,corr14_end,b1,b2,gov2_end,position,connection,colcode,math1,math2,math3,math4,extern4,_merge,female,age,age2,main_tribe,years_kga,educ_lvl,educ_yrs,c11,c12,c13,c14,maths_score,revread3,revread4,literacy_tsh,revread6,revread7,literacy_fr,possessions_nb,revtax_who1,revtax_who3,revtax_who6,index_taxwho,red_ngo,red_state,revred_if,red_prog,index_redistribution,revtrust4,revtrust5,revtrust6,index_trust,state_cap1,gov_resp,revcorr14_end,gov1_end,index_prov_gov,revb2,revb1,b3,index_morale,intrin1,intrin2,intrin3,index_intrinsic,extern1,extern2,extern3,index_extrinsic,job_heard_connection,fam_dgrkoc,fam_gov,index_connection,intrinsic_minus_extrinsic
2.0,32.0,LULUWA,0.0,2014.0,21.21212121212121,8.484848484848484,1 6,3.0,6.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.2,4.0,9999,11.0,,,,,,1,1.0,32.0,1024.0,1.0,4.0,3.0,15.0,1.0,0.0,1.0,0.0,-1.5492313,4.0,4.0,1.1915566,3.0,3.0,-0.47914892,2.0,3.0,1.0,4.0,-0.84544843,4.0,4.0,2.0,2.0,1.0140828,4.0,4.0,4.0,1.1039371,1.0,4.0,6.0,0.8,2.2283387,4.0,3.0,0.0,0.091019616,,,,,,,,,0.0,0.0,0.0,-0.88890743,
1.0,35.0,LULUWA,0.0,2017.0,7.878787878787879,0.0,1,3.0,6.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,0.5,4.0,9999,12.0,,,,,,1,0.0,35.0,1225.0,1.0,1.0,3.0,15.0,1.0,1.0,0.0,0.0,-1.0864509,4.0,4.0,1.1915566,4.0,4.0,0.75788444,1.0,4.0,1.0,4.0,-0.10799819,3.0,3.0,2.0,2.0,0.023904312,4.0,4.0,4.0,1.1039371,1.0,3.0,2.0,0.5,0.13161114,4.0,2.0,0.0,-0.8150761,,,,,,,,,0.0,0.0,0.0,-0.88890743,
1.0,26.0,LUBA,1.0,,30.303030303030305,16.363636363636363,3 4,4.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,1.0,2.0,0.4,4.0,9999,13.0,,,,,3.0,3,0.0,26.0,676.0,0.0,,4.0,18.0,1.0,1.0,1.0,1.0,1.0570327,3.0,3.0,-0.05997383,4.0,4.0,0.75788444,2.0,1.0,3.0,3.0,-1.8479013,3.0,4.0,1.0,1.0,-1.2260079,2.0,2.0,3.0,-0.8262783,1.0,1.0,4.0,0.6,0.04101907,3.0,3.0,,-0.32609147,4.0,4.0,4.0,0.71840584,3.0,2.0,2.0,-0.10571505,0.0,0.0,0.0,-0.88890743,0.70433486
1.0,49.0,LULUWA,1.0,,80.60606060606061,22.424242424242426,3 4 6,4.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0,5.0,1.0,1.0,0.4,2.0,4,14.0,,,,,1.0,3,0.0,49.0,2401.0,1.0,,4.0,18.0,1.0,1.0,1.0,1.0,1.0570327,4.0,4.0,1.1915566,4.0,4.0,0.75788444,3.0,2.0,4.0,3.0,-0.59952575,5.0,4.0,1.0,2.0,0.73442894,2.0,2.0,4.0,-0.3584784,1.0,1.0,3.0,0.6,-0.276962,4.0,3.0,0.0,0.091019616,3.0,3.0,2.0,-0.85953027,3.0,3.0,3.0,0.64600813,1.0,1.0,0.0,1.3575524,-1.2867084
1.0,31.0,SONGE,0.0,2006.0,484.8484848484849,18.181818181818183,3 4,4.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,1.0,1.0,0.8,3.0,4,15.0,,,,,,1,0.0,31.0,961.0,0.0,12.0,4.0,18.0,1.0,1.0,1.0,1.0,1.0570327,4.0,3.0,0.56433606,4.0,4.0,0.75788444,2.0,3.0,3.0,1.0,-1.471807,4.0,3.0,1.0,2.0,-0.25574958,2.0,2.0,2.0,-1.2940782,0.0,2.0,4.0,0.2,-0.85875285,4.0,3.0,0.0,0.091019616,,,,,,,,,0.0,0.0,0.0,-0.88890743,
1.0,37.0,LUNTU,1.0,,54.54545454545455,9.696969696969697,0,4.0,5.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.1,4.0,9999,16.0,,,,,,1,0.0,37.0,1369.0,0.0,,4.0,20.0,1.0,1.0,0.0,0.0,-1.0864509,4.0,4.0,1.1915566,4.0,3.0,0.16854718,0.0,3.0,3.0,3.0,-0.3730008,4.0,5.0,1.0,2.0,0.77953047,3.0,3.0,4.0,0.37272942,1.0,3.0,7.0,0.9,2.248975,4.0,3.0,0.0,0.091019616,,,,,,,,,0.0,0.0,0.0,-0.88890743,
2.0,27.0,LULUWA,0.0,1993.0,181.8181818181818,90.9090909090909,4,4.0,5.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,0.5,4.0,9999,17.0,,,,,,1,1.0,27.0,729.0,1.0,25.0,4.0,20.0,1.0,1.0,0.0,1.0,0.046917908,4.0,4.0,1.1915566,4.0,4.0,0.75788444,1.0,4.0,4.0,4.0,1.4247779,5.0,3.0,1.0,2.0,0.21678892,2.0,2.0,2.0,-1.2940782,0.0,1.0,5.0,0.5,-0.5743873,4.0,3.0,0.0,0.091019616,,,,,,,,,0.0,0.0,1.0,0.30434754,
1.0,46.0,LUNTU,0.0,1996.0,90.9090909090909,21.21212121212121,3,3.0,6.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0,0.2,2.0,other,18.0,,,,,3.0,3,0.0,46.0,2116.0,0.0,22.0,3.0,15.0,1.0,0.0,0.0,1.0,-1.4259772,4.0,3.0,0.56433606,4.0,3.0,0.16854718,1.0,3.0,3.0,3.0,-0.3730008,5.0,5.0,1.0,2.0,1.252069,2.0,2.0,2.0,-1.2940782,1.0,1.0,4.0,0.8,0.30474833,4.0,3.0,,0.482099,4.0,2.0,3.0,-0.38678652,2.0,2.0,2.0,-0.6187599,1.0,1.0,0.0,1.3575524,0.198256
1.0,28.0,LULUWA,1.0,,54.54545454545455,16.96969696969697,3,3.0,6.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,9999,19.0,,,,,,1,0.0,28.0,784.0,1.0,,3.0,15.0,1.0,1.0,1.0,1.0,1.0570327,4.0,3.0,0.56433606,3.0,2.0,-1.0684861,1.0,3.0,3.0,4.0,0.17640227,5.0,5.0,1.0,1.0,0.23670913,3.0,4.0,4.0,0.75097877,1.0,3.0,4.0,1.0,1.4268963,4.0,3.0,0.0,0.091019616,,,,,,,,,1.0,1.0,0.0,1.3575524,
1.0,22.0,KUBA,1.0,,90.9090909090909,4.545454545454546,3,4.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,0.2,4.0,7,20.0,,,,,4.0,3,0.0,22.0,484.0,0.0,,4.0,19.0,1.0,1.0,0.0,1.0,0.046917908,3.0,2.0,-0.6871943,3.0,3.0,-0.47914892,1.0,3.0,1.0,3.0,-1.3948514,5.0,3.0,1.0,1.0,-0.7985709,3.0,3.0,4.0,0.37272942,1.0,3.0,4.0,0.8,1.1631672,4.0,3.0,0.0,0.091019616,4.0,3.0,1.0,-0.7256857,3.0,5.0,5.0,2.1494544,0.0,1.0,0.0,0.3237034,-2.4572384
