a7,rouge,geo_stratum,jontax,stratum_jon,commune,joncomp2016,chef_collect_types,chef_collect_ever,salongo_freq,chef_collect_proptax_ever,appoint_yr,chef_stratum,chef_collect_stratum,stratum,stratum_count,treatment,rand1,rank1,count1,numtoselect1_control,probleft2_control,rand2,probleft3_control,numtoselect1_central,probleft2_central,probleft3_central,numtoselect1_local,probleft2_local,probleft3_local,numtoselect1_centralwinfo,probleft2_centralwinfo,numtoselect1_centralxlocal,probleft2_centralxlocal,probleft3_centralwinfo,rand3,order_treatment
650.0,0.0,10.0,1.0,18.0,5.0,2.0,0.0,0.0,3.3333333333333335,0.9833333333333333,2005.6666666666667,1.0,1.0,27.0,18.0,1.0,0.09191698131344295,1.0,18.0,0.2528089887640446,0.2528089887640446,0.09191698131344295,,5.641025641025641,0.6410256410256414,,,,,,,,,,0.4025881393937326,41.0
646.0,0.0,10.0,1.0,18.0,5.0,1.0,0.5,0.3333333333333333,4.5,1.0,2005.8333333333333,1.0,1.0,27.0,18.0,1.0,0.34570719394303306,5.0,18.0,0.2528089887640446,0.2528089887640446,0.34570719394303306,,5.641025641025641,0.6410256410256414,,,,,,,,,,0.4353742696782207,44.0
641.0,0.0,10.0,1.0,16.0,5.0,2.0,0.3333333333333333,0.3333333333333333,4.166666666666667,1.0,2012.5,1.0,1.0,27.0,18.0,1.0,0.3295240377957288,4.0,18.0,0.2528089887640446,0.2528089887640446,0.3295240377957288,,5.641025641025641,0.6410256410256414,,,,,,,,,,0.6593895200740049,70.0
662.0,0.0,10.0,0.0,16.0,5.0,1.0,0.6666666666666666,0.5,3.1666666666666665,0.6666666666666666,2008.6666666666667,2.0,1.0,26.0,12.0,1.0,0.10572853661397186,2.0,12.0,0.1685393258426964,0.1685393258426964,0.10572853661397186,,3.760683760683761,0.7606837606837611,,,,,,,,,,0.6378223924862233,66.0
657.0,0.0,10.0,0.0,17.0,5.0,1.0,0.5,0.5,3.6666666666666665,1.0,2011.6666666666667,2.0,1.0,26.0,12.0,1.0,0.030390620711559735,1.0,12.0,0.1685393258426964,0.1685393258426964,0.030390620711559735,,3.760683760683761,0.7606837606837611,,,,,,,,,,0.9506982742074822,109.0
637.0,0.0,10.0,0.0,17.0,5.0,1.0,0.3333333333333333,0.3333333333333333,2.5,0.5,2013.8333333333333,2.0,1.0,26.0,12.0,1.0,0.20678120981860781,3.0,12.0,0.1685393258426964,0.1685393258426964,0.20678120981860781,,3.760683760683761,0.7606837606837611,,,,,,,,,,0.2888864230968683,28.0
606.0,0.0,9.0,1.0,20.0,5.0,2.0,0.4,0.2,3.6,0.5,1999.6,,2.0,25.0,9.0,1.0,0.06976890958252391,1.0,9.0,0.1264044943820223,0.1264044943820223,0.06976890958252391,,2.8205128205128207,0.8205128205128207,,,,,,,,,,0.008402959362857065,2.0
592.0,0.0,9.0,1.0,12.0,5.0,2.0,0.16666666666666666,0.16666666666666666,4.0,1.0,2006.5,2.0,2.0,25.0,9.0,1.0,0.1699873309223573,2.0,9.0,0.1264044943820223,0.1264044943820223,0.1699873309223573,,2.8205128205128207,0.8205128205128207,,,,,,,,,,0.3157325002456276,30.0
599.0,0.0,9.0,1.0,11.0,5.0,1.0,0.0,0.0,3.3333333333333335,0.0,2008.8333333333333,1.0,1.0,24.0,10.0,1.0,0.252780384934956,3.0,10.0,0.140449438202247,0.140449438202247,0.252780384934956,,3.133903133903134,0.13390313390313402,,,,,,,,,,0.7239848197268227,78.0
596.0,0.0,9.0,1.0,12.0,5.0,1.0,0.0,0.16666666666666666,3.0,0.0,2009.0,1.0,1.0,24.0,10.0,1.0,0.019942501651438627,2.0,10.0,0.140449438202247,0.140449438202247,0.019942501651438627,,3.133903133903134,0.13390313390313402,,,,,,,,,,0.3953095477357981,40.0
590.0,1.0,9.0,1.0,12.0,5.0,1.0,0.0,0.0,4.5,0.47058823529411764,2014.75,2.0,1.0,24.0,10.0,1.0,0.0198333639371856,1.0,10.0,0.140449438202247,0.140449438202247,0.0198333639371856,,3.133903133903134,0.13390313390313402,,,,,,,,,,0.9143693827597169,104.0
594.0,0.0,9.0,0.0,12.0,5.0,1.0,0.3333333333333333,0.3333333333333333,5.0,0.6666666666666666,2001.3333333333333,2.0,2.0,23.0,5.0,1.0,0.2913197732171323,1.0,4.0,0.0702247191011235,0.0702247191011235,0.2913197732171323,,1.2535612535612537,0.2535612535612537,,,,,,,,,,0.9134135473569872,103.0
595.0,0.0,9.0,0.0,10.0,5.0,1.0,0.0,0.16666666666666666,3.5,0.0,2010.5,1.0,1.0,22.0,6.0,1.0,0.38461593376148795,1.0,5.0,0.0842696629213482,0.0842696629213482,0.38461593376148795,,1.566951566951567,0.566951566951567,,,,,,,,,,0.31716976109736283,31.0
636.0,0.0,8.0,1.0,17.0,5.0,2.0,0.5,0.5,2.5,0.5,2015.0,2.0,1.0,21.0,16.0,1.0,0.2534528848601926,5.0,16.0,0.2247191011235952,0.2247191011235952,0.2534528848601926,,5.014245014245015,0.014245014245014787,,,,,,,,,,0.9158248240269081,105.0
620.0,0.0,8.0,1.0,21.0,5.0,2.0,0.3333333333333333,0.3333333333333333,3.8333333333333335,1.0,2006.8333333333333,1.0,1.0,21.0,16.0,1.0,0.23702588209848863,4.0,16.0,0.2247191011235952,0.2247191011235952,0.23702588209848863,,5.014245014245015,0.014245014245014787,,,,,,,,,,0.033948812582215715,6.0
617.0,0.0,8.0,1.0,21.0,5.0,2.0,0.3333333333333333,0.3333333333333333,4.0,1.0,2002.1666666666667,1.0,1.0,21.0,16.0,1.0,0.05343830811315187,1.0,16.0,0.2247191011235952,0.2247191011235952,0.05343830811315187,,5.014245014245015,0.014245014245014787,,,,,,,,,,0.792046227272374,88.0
604.0,0.0,8.0,1.0,11.0,5.0,2.0,0.16666666666666666,0.16666666666666666,3.0,1.0,2000.1666666666667,,1.0,21.0,16.0,1.0,0.1452288166045551,2.0,16.0,0.2247191011235952,0.2247191011235952,0.1452288166045551,,5.014245014245015,0.014245014245014787,,,,,,,,,,0.874311398090052,99.0
584.0,0.0,8.0,1.0,12.0,5.0,1.0,0.3333333333333333,0.3333333333333333,2.6666666666666665,1.0,1997.3333333333333,1.0,1.0,21.0,16.0,1.0,0.20295963056999955,3.0,16.0,0.2247191011235952,0.2247191011235952,0.20295963056999955,,5.014245014245015,0.014245014245014787,,,,,,,,,,0.39176847986781327,39.0
629.0,0.0,8.0,0.0,7.0,5.0,1.0,0.6666666666666666,0.5,2.1666666666666665,0.75,2007.3333333333333,1.0,1.0,20.0,14.0,1.0,0.2641175093134144,4.0,14.0,0.1966292134831458,0.1966292134831458,0.2641175093134144,,4.387464387464388,0.38746438746438816,,,,,,,,,,0.5322769477070594,59.0
628.0,0.0,8.0,0.0,11.0,5.0,1.0,0.6666666666666666,0.6666666666666666,2.1666666666666665,1.0,2002.8333333333333,2.0,1.0,20.0,14.0,1.0,0.006653976123461747,1.0,14.0,0.1966292134831458,0.1966292134831458,0.006653976123461747,,4.387464387464388,0.38746438746438816,,,,,,,,,,0.3899253702172979,38.0
625.0,0.0,8.0,0.0,20.0,5.0,1.0,0.3333333333333333,0.3333333333333333,3.5,0.6666666666666666,2000.8333333333333,1.0,1.0,20.0,14.0,1.0,0.09939358084655658,2.0,14.0,0.1966292134831458,0.1966292134831458,0.09939358084655658,,4.387464387464388,0.38746438746438816,,,,,,,,,,0.4827080376936196,49.0
624.0,0.0,8.0,0.0,11.0,5.0,1.0,0.4,0.4,3.4,0.6666666666666666,1998.6,1.0,1.0,20.0,14.0,1.0,0.1557021676247604,3.0,14.0,0.1966292134831458,0.1966292134831458,0.1557021676247604,,4.387464387464388,0.38746438746438816,,,,,,,,,,0.6663691261920125,72.0
573.0,0.0,7.0,1.0,12.0,1.0,1.0,0.0,0.0,3.3333333333333335,0.0,1994.6666666666667,1.0,1.0,19.0,15.0,1.0,0.06354433506250612,2.0,15.0,0.2106741573033705,0.2106741573033705,0.06354433506250612,,4.700854700854701,0.700854700854701,,,,,,,,,,0.42717414796243725,43.0
562.0,0.0,7.0,1.0,7.0,5.0,1.0,0.3333333333333333,0.3333333333333333,3.3333333333333335,1.0,2012.8,1.0,1.0,19.0,15.0,1.0,0.03178034833770671,1.0,15.0,0.2106741573033705,0.2106741573033705,0.03178034833770671,,4.700854700854701,0.700854700854701,,,,,,,,,,0.6139940057474188,65.0
558.0,0.0,7.0,1.0,8.0,5.0,1.0,0.6666666666666666,0.3333333333333333,3.1666666666666665,1.0,2009.6666666666667,2.0,1.0,19.0,15.0,1.0,0.13168314464892916,3.0,15.0,0.2106741573033705,0.2106741573033705,0.13168314464892916,,4.700854700854701,0.700854700854701,,,,,,,,,,0.777162013241481,86.0
556.0,0.0,7.0,1.0,7.0,5.0,1.0,0.5,0.5,3.3333333333333335,1.0,2009.0,2.0,1.0,19.0,15.0,1.0,0.13985409668171223,4.0,15.0,0.2106741573033705,0.2106741573033705,0.13985409668171223,,4.700854700854701,0.700854700854701,,,,,,,,,,0.6817236277118502,75.0
578.0,0.0,7.0,0.0,11.0,1.0,1.0,0.0,0.0,3.5,0.0,1992.5,1.0,1.0,18.0,15.0,1.0,0.4137538752004447,3.0,15.0,0.2106741573033705,0.2106741573033705,0.4137538752004447,,4.700854700854701,0.700854700854701,,,,,,,,,,0.6120185482248003,63.0
572.0,0.0,7.0,0.0,12.0,5.0,1.0,0.16666666666666666,0.16666666666666666,3.3333333333333335,1.0,2005.6666666666667,1.0,1.0,18.0,15.0,1.0,0.41203634651554955,2.0,15.0,0.2106741573033705,0.2106741573033705,0.41203634651554955,,4.700854700854701,0.700854700854701,,,,,,,,,,0.4829254010657763,50.0
