a7,name_knows,edu_knows,job_knows,L_knows,L_knows_norm
241.0,0.62409306,-0.1873144,0.4877396,0.44076553,0.49612144
242.0,-0.047321036,-0.011248629,-0.25392488,-0.1489823,0.30137837
243.0,0.12053248,0.05277529,-0.422485,-0.10410735,0.31619674
244.0,0.12053248,-0.71551174,-0.06850876,-0.316319,0.24612144
245.0,-0.88658863,-0.011248629,-0.25392488,-0.5491045,0.16925238
246.0,-0.21517456,-0.1873144,0.1843314,-0.11133036,0.3138116
300.0,0.79194653,0.34088293,0.4877396,0.7726088,0.6057008
301.0,-0.21517456,-0.3633802,-0.439341,-0.48528343,0.19032699
302.0,0.66282845,-0.71551174,0.30232346,0.107929185,0.3862142
303.0,0.45623952,0.16481715,-0.25392488,0.17503065,0.40837204
304.0,0.45623952,0.34088293,0.30232346,0.5241626,0.52366036
305.0,-0.047321036,-0.1873144,-0.25392488,-0.23292194,0.27366033
306.0,0.62409306,-0.011248629,0.1843314,0.37273148,0.47365564
307.0,0.35294506,0.42214406,-0.11129709,0.31646386,0.4550753
308.0,0.45623952,-0.1873144,0.1843314,0.20876738,0.4195124
309.0,0.288386,0.16481715,1.043988,0.7137882,0.58627737
310.0,0.12053248,-0.011248629,-0.25392488,-0.06895786,0.32780358
311.0,-0.3830281,-0.3633802,-0.25392488,-0.47691047,0.19309187
312.0,0.288386,0.86908025,0.11690736,0.6075596,0.5511992
313.0,0.35294506,-0.011248629,-0.439341,-0.030027661,0.34065887
314.0,-0.047321036,0.34088293,0.20961541,0.20657906,0.41878977
315.0,-0.21517456,-0.011248629,0.11690736,-0.05221188,0.33333334
316.0,-0.5767052,-0.22794497,-0.439341,-0.57696277,0.16005318
317.0,0.12053248,0.34088293,0.11690736,0.27571625,0.44161984
318.0,-0.3830281,0.34088293,-0.25392488,-0.1411519,0.30396408
319.0,-0.3830281,-0.53944594,-0.25392488,-0.5608501,0.16537382
320.0,0.45623952,0.86908025,-0.25392488,0.5107892,0.51924425
