start,end,today,activity,chef_code,a7,a7b,chef_on_time,chef_late_min,chef_know1,chef_know2,chef_know3,chef_know4,chef_duty1,chef_duty2,chef_duty3,chef_duty4,chef_duty5,chef_duty6,chef_duty7,chef_duty8,chef_obed,chef_client,chef_obed2,coll_act_prior_vote,coll_act_prior_1,coll_act_prior_rel_1,coll_act_prior_2,coll_act_prior_rel_2,coll_act_prior_3,coll_act_prior_rel_3,coll_act_prior_4,coll_act_prior_rel_4,coll_act_prior_5,coll_act_prior_rel_5,coll_act_prior_6,coll_act_prior_rel_6,coll_act_prior_7,coll_act_prior_rel_7,coll_act_prior_8,coll_act_prior_rel_8,key,person1_need,person2_need,person3_need,person4_need,person5_need,person6_need,person7_need,person8_need,person9_need,person10_know,person10_showname,person10_realname,person10_job,person10_edu,person10_need,person11_need,person12_need,person13_need,person14_need,person15_need,coll_act_prior,coll_act_prior_rel,person1_know,person1_showname,person1_realname,person1_job,person1_edu,person2_know,person2_showname,person2_realname,person2_job,person2_edu,person3_know,person3_showname,person3_realname,person3_job,person3_edu,person4_know,person4_showname,person4_realname,person4_job,person4_edu,person5_know,person5_showname,person5_realname,person5_job,person5_edu,person6_know,person6_showname,person6_realname,person6_job,person6_edu,person7_know,person7_showname,person7_realname,person7_job,person7_edu,person8_know,person8_showname,person8_realname,person8_job,person8_edu,person9_know,person9_showname,person9_realname,person9_job,person9_edu,person11_know,person11_showname,person11_realname,person11_job,person11_edu,person12_know,person12_showname,person12_realname,person12_job,person12_edu,person13_know,person13_showname,person13_realname,person13_job,person13_edu,person14_know,person14_showname,person14_realname,person14_job,person14_edu,person15_know,person15_showname,person15_realname,person15_job,person15_edu
2019-09-02 06:39:00,2019-09-02 07:00:20,2019-09-02,4,11012,110,110,2,,4,5,3,10,2,3,2,2,3,3,1,2,1.0,4.0,-1,4,,,,,,,,,,,,,,,,,uuid:58b21e06-4ee9-42cb-a488-ebe98bacbeda/R2[1],3.0,1.0,3.0,1.0,2.0,,1.0,1.0,,1.0,,1.0,8.0,0.0,2.0,1.0,,,,,,,1,,1.0,17.0,,1,,1.0,7.0,3.0,1,,1.0,0.0,,1,,1.0,0.0,2.0,1,,1.0,14.0,2.0,0.0,1.0,,,,1.0,,1.0,11.0,,1.0,,1.0,9.0,3.0,0.0,1.0,,,,1.0,,1.0,8.0,,0.0,1.0,,,,,,,,,,,,,,,,,,
2019-08-26 06:03:49,2019-08-26 06:51:43,2019-08-26,4,11146,111,111,2,,3,5,5,9,1,2,2,1,2,2,1,1,2.0,3.0,2,4,,,,,,,,,,,,,,,,,uuid:3afbcb50-75a0-4734-9538-8757ba73bdff/R2[1],4.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,,1.0,21.0,2.0,2.0,4.0,2.0,,,,,,1,,0.0,4.0,3.0,1,,0.0,4.0,,1,,0.0,,,1,,1.0,0.0,,1,,1.0,4.0,4.0,1.0,,1.0,0.0,3.0,1.0,,1.0,6.0,3.0,1.0,,1.0,6.0,3.0,1.0,,1.0,0.0,,1.0,,1.0,17.0,,1.0,,1.0,4.0,,,,,,,,,,,,,,,,
2019-08-26 06:03:49,2019-08-26 06:51:43,2019-08-26,4,11146,112,112,2,,3,5,5,9,1,2,2,1,2,2,1,1,2.0,3.0,2,4,,,,,,,,,,,,,,,,,uuid:3afbcb50-75a0-4734-9538-8757ba73bdff/R2[2],,3.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,1.0,,0.0,0.0,3.0,2.0,,2.0,,,,,,0,1.0,,,,1,,1.0,17.0,3.0,1,,1.0,0.0,3.0,1,,0.0,4.0,,1,,1.0,4.0,3.0,1.0,,1.0,0.0,3.0,1.0,,1.0,8.0,3.0,1.0,,0.0,17.0,4.0,1.0,,1.0,8.0,2.0,0.0,1.0,,,,1.0,,1.0,21.0,2.0,,,,,,,,,,,,,,,
2019-08-12 08:36:36,2019-08-12 09:16:11,2019-08-12,4,11594,113,113,1,,1,9,3,10,1,1,1,3,2,2,1,1,1.0,1.0,2,4,,,,,,,,,,,,,,,,,uuid:464f323d-b97d-48c3-8cb9-865b06def40f/G4-R2[1],2.0,1.0,2.0,3.0,3.0,2.0,,3.0,2.0,1.0,,1.0,0.0,2.0,1.0,1.0,2.0,,,,,,0,0.0,,6.0,3.0,1,,0.0,0.0,0.0,1,,0.0,25.0,2.0,0,0.0,,4.0,3.0,1,,1.0,17.0,3.0,0.0,0.0,,11.0,3.0,0.0,1.0,,,,0.0,0.0,,4.0,3.0,0.0,0.0,,11.0,3.0,0.0,0.0,,9.0,3.0,0.0,0.0,,6.0,3.0,,,,,,,,,,,,,,,
2019-09-02 07:04:33,2019-09-02 07:19:47,2019-09-02,4,1142,114,114,3,60.0,3,8,4,6,0,3,3,2,3,3,2,3,4.0,4.0,-2,4,,,,,,,,,,,,,,,,,uuid:63063bbe-ac5f-4c23-ad52-9b72d4ef53bb/R2[1],2.0,3.0,4.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,,1.0,0.0,,2.0,2.0,1.0,,,,,,1,,1.0,9.0,3.0,1,,1.0,14.0,,1,,1.0,17.0,4.0,1,,1.0,0.0,,1,,1.0,0.0,,1.0,,1.0,14.0,3.0,1.0,,0.0,4.0,,1.0,,1.0,18.0,,1.0,,1.0,27.0,4.0,1.0,,1.0,17.0,,1.0,,0.0,14.0,,,,,,,,,,,,,,,,
2019-08-12 08:36:36,2019-08-12 09:16:11,2019-08-12,4,11594,115,115,1,,1,9,3,10,1,1,1,3,2,2,1,1,1.0,1.0,2,4,,,,,,,,,,,,,,,,,uuid:464f323d-b97d-48c3-8cb9-865b06def40f/G4-R2[2],2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,,1.0,4.0,0.0,2.0,2.0,2.0,,,,,,1,,1.0,4.0,3.0,1,,1.0,4.0,2.0,0,0.0,,18.0,4.0,1,,1.0,0.0,3.0,0,0.0,,4.0,0.0,1.0,,1.0,4.0,2.0,1.0,,0.0,17.0,3.0,1.0,,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,1.0,,1.0,21.0,3.0,0.0,0.0,,0.0,3.0,,,,,,,,,,,,,,,
2019-07-22 08:24:49,2019-07-22 08:55:25,2019-07-22,4,11686,116,116,1,,5,4,4,9,1,1,2,1,2,2,1,1,3.0,3.0,2,3,,,,,,,,,,,,,,,,,uuid:41029a68-63b3-4688-a50d-9ac9bb9156a1/G4-R2[1],,2.0,2.0,3.0,1.0,2.0,4.0,2.0,5.0,1.0,,1.0,17.0,3.0,4.0,3.0,,,,,,,0,1.0,,,,1,,0.0,4.0,3.0,1,,0.0,8.0,2.0,1,,1.0,4.0,2.0,1,,1.0,0.0,0.0,1.0,,0.0,4.0,2.0,1.0,,1.0,17.0,4.0,1.0,,1.0,14.0,2.0,1.0,,1.0,17.0,4.0,1.0,,1.0,17.0,3.0,0.0,1.0,,,,,,,,,,,,,,,,,,
2019-09-16 06:10:43,2019-09-16 07:10:22,2019-09-16,4,11789,117,117,1,,5,5,7,9,1,1,1,1,3,3,1,1,2.0,2.0,0,0,,,,,,,,,,,,,,,,,uuid:1d72d8e1-300a-4d78-9900-c0860eac79d0/R2[1],,2.0,1.0,2.0,1.0,3.0,,3.0,,0.0,1.0,,,,,,,,,,,,0,1.0,,,,1,,1.0,0.0,2.0,1,,1.0,0.0,,1,,1.0,14.0,2.0,1,,1.0,18.0,2.0,1.0,,1.0,28.0,3.0,0.0,1.0,,,,1.0,,1.0,21.0,3.0,0.0,1.0,,,,0.0,1.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
2019-10-13 20:55:55,2019-10-13 21:17:34,2019-10-14,4,11887,118,118,2,,4,9,4,9,0,0,1,0,3,3,0,0,3.0,2.0,-1,4,,,,,,,,,,,,,,,,,uuid:ee13d24e-8d62-4f21-bedd-6b91681845f8/R2[1],4.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,,0.0,0.0,,1.0,1.0,2.0,,,,,,1,,0.0,22.0,3.0,1,,1.0,15.0,2.0,1,,1.0,0.0,3.0,1,,1.0,4.0,2.0,1,,0.0,13.0,3.0,1.0,,0.0,4.0,,1.0,,0.0,4.0,,1.0,,1.0,8.0,,1.0,,1.0,0.0,,1.0,,1.0,4.0,,1.0,,1.0,8.0,,,,,,,,,,,,,,,,
2019-08-19 07:15:23,2019-08-19 07:39:47,2019-08-19,4,11986,119,119,1,,3,7,2,8,1,0,0,0,3,2,1,0,3.0,2.0,-2,4,,,,,,,,,,,,,,,,,uuid:a615d6da-0436-45d5-89cd-4b7756e8c8b5/R2[1],2.0,2.0,,2.0,,3.0,3.0,2.0,,1.0,,1.0,9.0,3.0,2.0,,,,,,,,1,,1.0,23.0,2.0,1,,1.0,9.0,4.0,0,1.0,,,,1,,1.0,25.0,3.0,0,1.0,,,,1.0,,1.0,9.0,3.0,1.0,,1.0,4.0,3.0,1.0,,1.0,17.0,3.0,0.0,1.0,,,,0.0,1.0,,,,0.0,1.0,,,,,,,,,,,,,,,,,,
2019-08-12 07:44:47,2019-08-12 08:25:56,2019-08-12,4,12110,120,120,1,,3,5,4,9,1,2,2,1,2,2,1,1,3.0,2.0,-2,4,,,,,,,,,,,,,,,,,uuid:b2f7e401-7410-40fc-afdc-20d7b14f5b94/G4-R2[1],3.0,2.0,2.0,1.0,3.0,2.0,,3.0,2.0,0.0,1.0,,,,,3.0,2.0,,,,,,1,,0.0,13.0,3.0,1,,1.0,0.0,2.0,1,,1.0,4.0,2.0,1,,0.0,8.0,0.0,1,,1.0,9.0,3.0,1.0,,1.0,12.0,3.0,0.0,1.0,,,,1.0,,1.0,4.0,3.0,1.0,,0.0,4.0,,1.0,,0.0,6.0,3.0,1.0,,0.0,,,,,,,,,,,,,,,,,
2019-08-12 07:44:47,2019-08-12 08:25:56,2019-08-12,4,12110,121,121,1,,3,5,4,9,1,2,2,1,2,2,1,1,3.0,2.0,-2,4,,,,,,,,,,,,,,,,,uuid:b2f7e401-7410-40fc-afdc-20d7b14f5b94/G4-R2[2],4.0,3.0,,3.0,2.0,2.0,3.0,2.0,3.0,1.0,,1.0,8.0,2.0,4.0,2.0,1.0,,,,,,1,,1.0,17.0,3.0,1,,1.0,4.0,3.0,0,1.0,,,,1,,1.0,17.0,3.0,1,,0.0,0.0,3.0,1.0,,0.0,14.0,2.0,1.0,,1.0,17.0,3.0,1.0,,0.0,,3.0,1.0,,1.0,14.0,3.0,1.0,,0.0,14.0,3.0,1.0,,1.0,4.0,0.0,,,,,,,,,,,,,,,
2019-09-09 07:09:32,2019-09-09 07:26:54,2019-09-09,4,12395,122,122,1,,6,8,9,10,2,1,1,1,2,3,1,1,1.0,4.0,-2,4,,,,,,,,,,,,,,,,,uuid:9e9f1fc9-2c90-4e12-8618-6915696443df/R2[1],3.0,4.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0,1.0,,0.0,21.0,2.0,2.0,2.0,4.0,2.0,3.0,,,,1,,1.0,4.0,2.0,1,,1.0,21.0,3.0,1,,0.0,4.0,2.0,1,,0.0,14.0,2.0,1,,1.0,17.0,3.0,1.0,,1.0,4.0,0.0,1.0,,0.0,1.0,4.0,1.0,,1.0,4.0,0.0,1.0,,0.0,4.0,2.0,1.0,,0.0,0.0,2.0,1.0,,0.0,15.0,3.0,1.0,,0.0,14.0,0.0,1.0,,0.0,25.0,3.0,,,,,
2019-09-16 06:10:43,2019-09-16 07:10:22,2019-09-16,4,11789,123,123,1,,5,5,7,9,1,1,1,1,3,3,1,1,2.0,2.0,0,0,,,,,,,,,,,,,,,,,uuid:1d72d8e1-300a-4d78-9900-c0860eac79d0/R2[2],3.0,2.0,,,3.0,,,3.0,,1.0,,1.0,0.0,,1.0,,2.0,,,,,,1,,1.0,1.0,4.0,1,,1.0,23.0,3.0,0,1.0,,,,0,1.0,,,,1,,1.0,17.0,3.0,0.0,1.0,,,,0.0,1.0,,,,1.0,,1.0,9.0,4.0,0.0,1.0,,,,0.0,1.0,,,,1.0,,1.0,6.0,3.0,,,,,,,,,,,,,,,
2019-09-16 06:10:43,2019-09-16 07:10:22,2019-09-16,4,11789,124,124,1,,5,5,7,9,1,1,1,1,3,3,1,1,2.0,2.0,0,0,,,,,,,,,,,,,,,,,uuid:1d72d8e1-300a-4d78-9900-c0860eac79d0/R2[3],,,2.0,,3.0,,2.0,,,1.0,,1.0,9.0,3.0,2.0,,3.0,,,,,,0,1.0,,,,0,1.0,,,,1,,1.0,0.0,2.0,0,1.0,,,,1,,1.0,22.0,3.0,0.0,1.0,,,,1.0,,1.0,9.0,3.0,0.0,1.0,,,,0.0,1.0,,,,0.0,1.0,,,,1.0,,1.0,25.0,,,,,,,,,,,,,,,,
2019-07-17 17:15:56,2019-07-17 17:35:55,2019-07-17,4,12545,125,125,2,,4,9,3,9,2,3,2,0,0,0,0,0,1.0,4.0,0,4,,,,,,,,,,,,,,,,,uuid:3f89da28-1cea-436b-a691-e640c0ec41fe/G4-R2[1],3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,,1.0,13.0,3.0,3.0,2.0,2.0,,,,,,1,,1.0,0.0,3.0,1,,1.0,4.0,2.0,1,,1.0,4.0,2.0,1,,1.0,4.0,2.0,1,,1.0,23.0,2.0,1.0,,1.0,25.0,3.0,1.0,,1.0,9.0,3.0,1.0,,1.0,0.0,3.0,1.0,,1.0,6.0,3.0,1.0,,1.0,4.0,3.0,1.0,,1.0,0.0,2.0,,,,,,,,,,,,,,,
2019-10-13 21:18:52,2019-10-13 21:39:55,2019-10-14,4,21647,126,126,2,,4,3,7,9,3,0,0,0,3,2,0,0,1.0,4.0,-2,4,,,,,,,,,,,,,,,,,uuid:96cddb45-84fe-406a-b327-d352af156e7a/R2[1],,2.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,,1.0,9.0,4.0,3.0,,3.0,,,,,,0,1.0,,,,1,,1.0,0.0,2.0,1,,1.0,4.0,,1,,1.0,4.0,2.0,1,,0.0,4.0,0.0,1.0,,0.0,14.0,3.0,1.0,,1.0,17.0,3.0,1.0,,1.0,21.0,2.0,1.0,,1.0,4.0,3.0,0.0,1.0,,,,1.0,,0.0,17.0,3.0,,,,,,,,,,,,,,,
2019-10-07 07:09:39,2019-10-07 07:42:02,2019-10-07,4,2048,204,204,2,,4,3,3,8,0,2,2,0,3,3,0,0,2.0,2.0,0,4,,,,,,,,,,,,,,,,,uuid:1fb534f1-06fa-4375-b289-6303078fff1d/R2[1],3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,,1.0,0.0,2.0,2.0,3.0,,,,,,,1,,0.0,0.0,2.0,1,,0.0,6.0,3.0,1,,0.0,9.0,3.0,1,,1.0,4.0,2.0,1,,1.0,8.0,2.0,1.0,,1.0,8.0,,1.0,,0.0,14.0,2.0,1.0,,1.0,21.0,2.0,1.0,,1.0,4.0,2.0,1.0,,1.0,4.0,2.0,1.0,,0.0,,,,,,,,,,,,,,,,,
2019-10-07 07:09:39,2019-10-07 07:42:02,2019-10-07,4,2048,205,205,2,,4,3,3,8,0,2,2,0,3,3,0,0,2.0,2.0,0,4,,,,,,,,,,,,,,,,,uuid:1fb534f1-06fa-4375-b289-6303078fff1d/R2[2],2.0,2.0,3.0,3.0,2.0,2.0,2.0,,2.0,0.0,1.0,,,,,2.0,2.0,,,,,,1,,0.0,4.0,2.0,1,,0.0,,0.0,1,,1.0,1.0,3.0,1,,0.0,24.0,3.0,1,,1.0,4.0,0.0,1.0,,1.0,10.0,2.0,1.0,,0.0,0.0,2.0,0.0,1.0,,,,1.0,,0.0,4.0,2.0,1.0,,0.0,18.0,3.0,1.0,,1.0,15.0,3.0,,,,,,,,,,,,,,,
2019-10-07 07:09:39,2019-10-07 07:42:02,2019-10-07,4,2048,206,206,2,,4,3,3,8,0,2,2,0,3,3,0,0,2.0,2.0,0,4,,,,,,,,,,,,,,,,,uuid:1fb534f1-06fa-4375-b289-6303078fff1d/R2[3],2.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,,1.0,25.0,2.0,3.0,2.0,3.0,,,,,,1,,1.0,0.0,2.0,1,,0.0,8.0,2.0,1,,1.0,4.0,2.0,1,,1.0,25.0,2.0,1,,1.0,5.0,2.0,1.0,,0.0,8.0,2.0,1.0,,0.0,4.0,2.0,1.0,,1.0,9.0,3.0,1.0,,0.0,8.0,2.0,1.0,,0.0,4.0,2.0,1.0,,0.0,9.0,3.0,,,,,,,,,,,,,,,
2019-10-21 05:06:41,2019-10-21 05:34:30,2019-10-21,4,20812,209,209,1,,5,3,2,8,1,2,2,1,2,2,1,1,3.0,2.0,-2,4,,,,,,,,,,,,,,,,,uuid:f51a1ca9-9e92-4d8a-9262-0ebabf6ed1ba/R2[1],2.0,2.0,3.0,3.0,2.0,,2.0,2.0,3.0,1.0,,0.0,4.0,2.0,2.0,,2.0,,,,,,1,,0.0,9.0,4.0,1,,1.0,0.0,0.0,1,,1.0,15.0,3.0,1,,1.0,15.0,3.0,1,,1.0,4.0,2.0,0.0,1.0,,,,1.0,,1.0,4.0,3.0,1.0,,1.0,17.0,3.0,1.0,,1.0,20.0,4.0,0.0,1.0,,,,1.0,,0.0,4.0,2.0,,,,,,,,,,,,,,,
2019-09-09 09:20:55,2019-09-09 10:02:43,2019-09-09,4,24187,211,211,2,,6,4,5,8,0,0,2,0,3,2,0,0,4.0,4.0,-2,4,,,,,,,,,,,,,,,,,uuid:14cd33e6-8887-4f40-a6e6-0fa688928055/R2[1],2.0,3.0,4.0,5.0,5.0,5.0,2.0,5.0,2.0,1.0,,0.0,0.0,,1.0,2.0,1.0,,,,,,1,,1.0,0.0,,1,,1.0,23.0,,1,,0.0,4.0,,1,,1.0,17.0,4.0,1,,1.0,0.0,3.0,1.0,,1.0,4.0,3.0,1.0,,0.0,0.0,,1.0,,1.0,20.0,4.0,1.0,,1.0,0.0,,1.0,,1.0,0.0,2.0,1.0,,0.0,0.0,,,,,,,,,,,,,,,,
2019-07-15 08:43:45,2019-07-15 11:39:19,2019-07-15,4,21256,212,212,1,,6,5,7,9,2,1,2,1,3,3,3,3,1.0,4.0,2,0,,,,,,,,,,,,,,,,,uuid:83d1e7b1-e2e7-4c41-9713-51196e23560f/G4-R2[1],2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,,1.0,,1.0,11.0,3.0,1.0,1.0,1.0,,,,,,1,,1.0,0.0,3.0,1,,1.0,1.0,3.0,1,,1.0,4.0,3.0,1,,1.0,4.0,2.0,1,,1.0,4.0,2.0,1.0,,1.0,4.0,2.0,1.0,,1.0,4.0,3.0,1.0,,1.0,0.0,2.0,0.0,1.0,,,,1.0,,1.0,11.0,3.0,1.0,,1.0,0.0,1.0,,,,,,,,,,,,,,,
