a7,rouge,geo_stratum,jontax,stratum_jon,commune,joncomp2016,salongo_freq,collect_ever,collect_what_1,chef_stratum,comp_stratum,stratum
321.0,0.0,3.0,1.0,32.0,3.0,2.0,4,0,0.0,1.0,1.0,10.0
322.0,1.0,3.0,1.0,33.0,3.0,2.0,4,0,0.0,1.0,1.0,10.0
323.0,1.0,3.0,0.0,31.0,3.0,1.0,4,0,0.0,2.0,1.0,9.0
324.0,0.0,3.0,0.0,31.0,3.0,1.0,4,0,0.0,2.0,1.0,9.0
325.0,1.0,3.0,0.0,32.0,3.0,1.0,4,0,0.0,2.0,1.0,9.0
326.0,1.0,3.0,1.0,31.0,3.0,1.0,4,0,0.0,1.0,1.0,10.0
327.0,0.0,3.0,1.0,31.0,3.0,2.0,2,0,0.0,1.0,1.0,10.0
328.0,0.0,3.0,1.0,32.0,3.0,2.0,2,0,0.0,1.0,1.0,10.0
329.0,0.0,3.0,1.0,33.0,3.0,2.0,4,0,0.0,1.0,1.0,10.0
330.0,0.0,3.0,1.0,31.0,3.0,2.0,4,0,0.0,2.0,1.0,10.0
331.0,1.0,3.0,1.0,31.0,3.0,2.0,4,0,0.0,2.0,1.0,10.0
332.0,0.0,3.0,0.0,33.0,3.0,1.0,4,0,0.0,2.0,1.0,9.0
333.0,0.0,3.0,1.0,32.0,3.0,2.0,1,0,0.0,1.0,1.0,10.0
334.0,0.0,3.0,0.0,33.0,3.0,1.0,1,0,0.0,1.0,1.0,9.0
335.0,0.0,3.0,1.0,29.0,3.0,1.0,1,0,0.0,1.0,1.0,10.0
336.0,0.0,4.0,0.0,28.0,3.0,1.0,2,0,0.0,,1.0,12.0
337.0,0.0,4.0,1.0,30.0,3.0,2.0,1,0,0.0,1.0,2.0,16.0
338.0,0.0,4.0,0.0,30.0,3.0,1.0,4,0,0.0,1.0,1.0,12.0
339.0,0.0,4.0,0.0,30.0,3.0,1.0,4,1,1.0,1.0,1.0,13.0
341.0,0.0,4.0,0.0,13.0,3.0,1.0,2,1,1.0,1.0,1.0,13.0
342.0,0.0,4.0,1.0,29.0,3.0,2.0,4,1,1.0,1.0,2.0,17.0
343.0,0.0,4.0,1.0,30.0,3.0,1.0,4,1,1.0,1.0,1.0,15.0
344.0,0.0,4.0,1.0,30.0,3.0,1.0,4,0,0.0,2.0,1.0,14.0
345.0,0.0,4.0,1.0,30.0,3.0,1.0,2,0,0.0,1.0,1.0,14.0
346.0,0.0,4.0,1.0,15.0,3.0,1.0,1,1,1.0,1.0,1.0,15.0
347.0,0.0,5.0,0.0,15.0,3.0,1.0,2,1,1.0,1.0,1.0,19.0
348.0,0.0,5.0,0.0,13.0,3.0,1.0,2,0,0.0,2.0,1.0,18.0
349.0,0.0,5.0,1.0,13.0,3.0,2.0,2,0,0.0,2.0,1.0,20.0
350.0,0.0,5.0,1.0,13.0,3.0,2.0,2,0,0.0,2.0,1.0,20.0
351.0,0.0,5.0,1.0,13.0,3.0,2.0,8,0,0.0,1.0,1.0,20.0
352.0,0.0,5.0,1.0,13.0,3.0,1.0,2,0,0.0,2.0,1.0,20.0
353.0,0.0,5.0,1.0,32.0,3.0,2.0,4,0,0.0,1.0,1.0,20.0
354.0,0.0,4.0,1.0,33.0,3.0,2.0,6,0,0.0,1.0,2.0,16.0
355.0,0.0,4.0,1.0,32.0,3.0,1.0,1,1,1.0,2.0,1.0,15.0
356.0,0.0,4.0,0.0,33.0,3.0,1.0,1,1,1.0,2.0,1.0,13.0
357.0,0.0,4.0,1.0,33.0,3.0,2.0,4,0,0.0,2.0,2.0,16.0
358.0,0.0,4.0,1.0,33.0,3.0,2.0,4,0,0.0,2.0,2.0,16.0
359.0,0.0,4.0,1.0,13.0,3.0,1.0,1,0,0.0,1.0,1.0,14.0
360.0,0.0,5.0,0.0,13.0,3.0,1.0,4,0,0.0,1.0,1.0,18.0
361.0,0.0,5.0,0.0,13.0,3.0,1.0,4,1,1.0,1.0,1.0,19.0
362.0,0.0,4.0,1.0,13.0,3.0,2.0,4,1,1.0,1.0,2.0,17.0
363.0,0.0,5.0,0.0,15.0,3.0,1.0,4,0,0.0,,1.0,18.0
364.0,0.0,5.0,0.0,14.0,3.0,1.0,4,0,0.0,,1.0,18.0
365.0,0.0,5.0,0.0,14.0,3.0,1.0,4,1,1.0,1.0,1.0,19.0
366.0,0.0,11.0,0.0,32.0,3.0,1.0,2,0,0.0,1.0,1.0,48.0
367.0,0.0,11.0,0.0,31.0,3.0,1.0,2,1,1.0,2.0,1.0,49.0
368.0,0.0,11.0,1.0,14.0,3.0,2.0,3,0,0.0,1.0,1.0,50.0
369.0,0.0,11.0,1.0,15.0,3.0,2.0,4,0,0.0,1.0,1.0,50.0
370.0,0.0,5.0,1.0,15.0,3.0,2.0,4,1,0.0,1.0,1.0,20.0
371.0,0.0,5.0,0.0,14.0,3.0,1.0,4,0,0.0,1.0,1.0,18.0
372.0,0.0,11.0,1.0,15.0,3.0,2.0,4,0,0.0,1.0,1.0,50.0
373.0,0.0,11.0,1.0,14.0,3.0,2.0,4,1,1.0,1.0,1.0,51.0
374.0,0.0,11.0,0.0,13.0,3.0,1.0,4,0,0.0,,1.0,48.0
375.0,0.0,11.0,0.0,15.0,3.0,1.0,4,0,0.0,,1.0,48.0
376.0,0.0,5.0,0.0,15.0,3.0,1.0,4,0,0.0,,1.0,18.0
377.0,0.0,11.0,0.0,15.0,3.0,1.0,4,0,0.0,1.0,1.0,48.0
378.0,0.0,11.0,0.0,14.0,3.0,1.0,4,0,0.0,1.0,1.0,48.0
379.0,0.0,11.0,1.0,15.0,3.0,2.0,10,1,1.0,2.0,1.0,51.0
380.0,0.0,11.0,0.0,14.0,3.0,1.0,10,1,1.0,2.0,1.0,49.0
381.0,0.0,5.0,0.0,4.0,3.0,1.0,4,0,0.0,2.0,1.0,18.0
382.0,0.0,5.0,1.0,5.0,3.0,2.0,2,1,0.0,2.0,1.0,20.0
384.0,0.0,5.0,1.0,6.0,3.0,2.0,4,0,0.0,2.0,1.0,20.0
385.0,0.0,5.0,0.0,6.0,3.0,1.0,4,0,0.0,2.0,1.0,18.0
386.0,0.0,5.0,0.0,4.0,3.0,1.0,4,1,1.0,2.0,1.0,19.0
387.0,0.0,11.0,1.0,4.0,3.0,2.0,4,0,0.0,1.0,1.0,50.0
500.0,0.0,5.0,1.0,5.0,5.0,2.0,4,1,1.0,2.0,1.0,21.0
501.0,0.0,12.0,0.0,5.0,5.0,1.0,4,0,0.0,2.0,1.0,52.0
502.0,0.0,5.0,1.0,4.0,5.0,1.0,4,1,1.0,2.0,1.0,21.0
503.0,0.0,5.0,0.0,5.0,5.0,1.0,4,1,1.0,2.0,1.0,19.0
504.0,0.0,5.0,1.0,5.0,5.0,2.0,4,1,1.0,2.0,1.0,21.0
505.0,0.0,5.0,1.0,5.0,5.0,1.0,4,1,1.0,2.0,1.0,21.0
506.0,0.0,5.0,1.0,6.0,5.0,1.0,4,1,1.0,2.0,1.0,21.0
507.0,0.0,5.0,1.0,6.0,5.0,2.0,4,1,1.0,2.0,1.0,21.0
508.0,0.0,5.0,1.0,6.0,5.0,2.0,4,1,1.0,1.0,1.0,21.0
509.0,0.0,6.0,0.0,6.0,5.0,1.0,4,1,1.0,1.0,1.0,23.0
510.0,0.0,6.0,1.0,4.0,5.0,2.0,3,1,1.0,1.0,1.0,25.0
511.0,0.0,6.0,0.0,5.0,5.0,1.0,0,0,0.0,1.0,1.0,22.0
512.0,0.0,6.0,0.0,6.0,5.0,1.0,3,1,1.0,1.0,1.0,23.0
513.0,0.0,6.0,0.0,5.0,5.0,1.0,3,1,1.0,1.0,1.0,23.0
514.0,0.0,6.0,1.0,4.0,5.0,2.0,1,0,0.0,1.0,1.0,24.0
515.0,0.0,6.0,0.0,5.0,5.0,1.0,2,1,1.0,,1.0,23.0
516.0,0.0,6.0,1.0,4.0,5.0,2.0,2,1,1.0,,1.0,25.0
517.0,0.0,6.0,0.0,6.0,5.0,1.0,4,1,1.0,2.0,1.0,23.0
518.0,0.0,6.0,0.0,9.0,5.0,1.0,4,1,1.0,2.0,1.0,23.0
520.0,0.0,12.0,0.0,4.0,5.0,1.0,12,0,0.0,2.0,1.0,52.0
521.0,0.0,12.0,1.0,7.0,5.0,2.0,12,0,0.0,2.0,1.0,54.0
