a7,paid,amount,grid_nm,hh_final,poly_size,stratum,program,nganza,program_start,non_residential,num_compounds,compliance,revenue_per_person
362.0,6.0,12000.0,5,41,1.0,13.0,1.0,0.0,2016-08-17,0.0,49,0.12244898,244.89796
363.0,0.0,0.0,5,137,3.0,15.0,0.0,0.0,,0.0,76,0.0,0.0
364.0,0.0,0.0,5,107,2.0,14.0,0.0,0.0,,0.0,65,0.0,0.0
365.0,0.0,0.0,5,102,2.0,14.0,0.0,0.0,,0.0,47,0.0,0.0
366.0,0.0,0.0,11,75,2.0,32.0,0.0,0.0,,0.0,42,0.0,0.0
367.0,0.0,0.0,11,46,1.0,31.0,0.0,0.0,,0.0,95,0.0,0.0
368.0,22.0,44000.0,5,88,2.0,14.0,1.0,0.0,2016-08-23,0.0,83,0.26506025,530.1205
369.0,11.0,22000.0,5,131,3.0,15.0,1.0,0.0,2016-10-24,0.0,77,0.14285715,285.7143
370.0,32.0,63000.0,5,139,3.0,15.0,1.0,0.0,2016-08-15,0.0,99,0.32323232,636.36365
371.0,0.0,0.0,5,90,2.0,14.0,0.0,0.0,,0.0,64,0.0,0.0
372.0,5.0,10000.0,5,199,3.0,15.0,1.0,0.0,2016-07-06,0.0,120,0.041666668,83.333336
373.0,3.0,4700.0,5,95,2.0,14.0,1.0,0.0,2016-10-28,0.0,52,0.057692308,90.38461
374.0,0.0,0.0,5,67,1.0,13.0,0.0,0.0,,0.0,52,0.0,0.0
375.0,0.0,0.0,5,117,3.0,15.0,0.0,0.0,,0.0,72,0.0,0.0
376.0,0.0,0.0,5,131,3.0,15.0,0.0,0.0,,0.0,99,0.0,0.0
377.0,0.0,0.0,5,148,3.0,15.0,0.0,0.0,,0.0,42,0.0,0.0
378.0,0.0,0.0,5,90,2.0,14.0,0.0,0.0,,0.0,59,0.0,0.0
379.0,7.0,14000.0,5,149,3.0,15.0,1.0,0.0,2016-09-16,0.0,143,0.04895105,97.9021
380.0,0.0,0.0,5,84,2.0,14.0,0.0,0.0,,0.0,58,0.0,0.0
381.0,0.0,0.0,2,41,1.0,4.0,0.0,0.0,,0.0,66,0.0,0.0
382.0,40.0,84955.0,2,186,2.0,5.0,1.0,0.0,2016-06-06,0.0,129,0.31007752,658.5659
384.0,12.0,23000.0,2,219,3.0,6.0,1.0,0.0,2016-09-17,0.0,123,0.09756097,186.99187
385.0,3.0,13300.0,2,219,3.0,6.0,0.0,0.0,,0.0,78,0.03846154,170.51282
386.0,1.0,2000.0,2,66,1.0,4.0,0.0,0.0,,0.0,59,0.016949153,33.898304
387.0,11.0,22000.0,2,89,1.0,4.0,1.0,0.0,2016-04-18,0.0,143,0.07692308,153.84616
500.0,25.0,44000.0,2,189,2.0,5.0,1.0,0.0,2016-09-06,0.0,107,0.23364486,411.21497
501.0,0.0,0.0,2,162,2.0,5.0,0.0,0.0,,0.0,53,0.0,0.0
502.0,4.0,12600.0,2,103,1.0,4.0,1.0,0.0,2016-05-31,0.0,56,0.071428575,225.0
503.0,0.0,0.0,2,195,2.0,5.0,0.0,0.0,,0.0,34,0.0,0.0
504.0,23.0,46000.0,2,153,2.0,5.0,1.0,0.0,2016-06-25,0.0,63,0.36507937,730.15875
505.0,7.0,23200.0,2,153,2.0,5.0,1.0,0.0,2016-10-28,0.0,86,0.08139535,269.76746
506.0,0.0,0.0,2,204,3.0,6.0,1.0,0.0,2016-05-23,0.0,69,0.0,0.0
507.0,19.0,36500.0,2,201,3.0,6.0,1.0,0.0,2016-05-31,0.0,91,0.20879121,401.0989
508.0,40.0,121200.0,2,278,3.0,6.0,1.0,0.0,2016-10-13,0.0,187,0.21390374,648.12836
509.0,0.0,0.0,2,212,3.0,6.0,0.0,0.0,,0.0,101,0.0,0.0
510.0,9.0,18000.0,2,93,1.0,4.0,1.0,0.0,2016-08-03,0.0,37,0.24324325,486.48648
511.0,0.0,0.0,2,126,2.0,5.0,0.0,0.0,,0.0,35,0.0,0.0
512.0,0.0,0.0,2,208,3.0,6.0,0.0,0.0,,0.0,99,0.0,0.0
513.0,0.0,0.0,2,185,2.0,5.0,0.0,0.0,,0.0,112,0.0,0.0
514.0,1.0,2000.0,2,88,1.0,4.0,1.0,0.0,2016-09-13,0.0,43,0.023255814,46.511627
515.0,0.0,0.0,2,115,2.0,5.0,0.0,0.0,,0.0,44,0.0,0.0
516.0,4.0,8000.0,2,102,1.0,4.0,1.0,0.0,2016-09-01,0.0,40,0.1,200.0
517.0,0.0,0.0,2,216,3.0,6.0,0.0,0.0,,0.0,102,0.0,0.0
518.0,0.0,0.0,3,321,3.0,9.0,0.0,0.0,,0.0,71,0.0,0.0
520.0,0.0,0.0,2,45,1.0,4.0,0.0,0.0,,0.0,10,0.0,0.0
521.0,2.0,198000.0,3,68,1.0,7.0,1.0,0.0,2016-06-28,0.0,21,0.0952381,9428.571
522.0,0.0,0.0,3,149,3.0,9.0,0.0,0.0,,0.0,50,0.0,0.0
523.0,9.0,31800.0,3,135,3.0,9.0,1.0,0.0,2016-05-18,0.0,71,0.12676056,447.88733
524.0,24.0,47500.0,3,98,1.0,7.0,1.0,0.0,2016-08-17,0.0,87,0.27586207,545.977
525.0,16.0,32000.0,3,68,1.0,7.0,1.0,0.0,2016-08-23,0.0,119,0.13445379,268.90756
526.0,0.0,0.0,3,126,2.0,8.0,1.0,0.0,2016-08-02,0.0,68,0.0,0.0
527.0,5.0,10000.0,3,103,1.0,7.0,1.0,0.0,2016-09-28,0.0,64,0.078125,156.25
528.0,7.0,14000.0,3,124,2.0,8.0,1.0,0.0,2016-10-08,0.0,168,0.041666668,83.333336
529.0,9.0,21400.0,3,108,2.0,8.0,1.0,0.0,2016-08-15,0.0,107,0.08411215,200.0
530.0,4.0,8000.0,3,198,3.0,9.0,1.0,0.0,2016-04-21,0.0,176,0.022727273,45.454544
531.0,0.0,0.0,3,148,3.0,9.0,0.0,0.0,,0.0,58,0.0,0.0
532.0,4.0,8000.0,3,78,1.0,7.0,1.0,0.0,2016-07-20,0.0,167,0.023952097,47.90419
533.0,1.0,2000.0,3,255,3.0,9.0,1.0,0.0,2016-08-17,0.0,114,0.00877193,17.54386
534.0,0.0,0.0,3,123,2.0,8.0,0.0,0.0,,0.0,86,0.0,0.0
535.0,2.0,4000.0,3,101,1.0,7.0,1.0,0.0,2016-05-31,0.0,38,0.05263158,105.26316
536.0,15.0,30000.0,3,185,3.0,9.0,1.0,0.0,2016-08-12,0.0,111,0.13513513,270.27026
537.0,0.0,0.0,3,284,3.0,9.0,1.0,0.0,2016-06-22,0.0,143,0.0,0.0
538.0,5.0,8200.0,3,124,2.0,8.0,1.0,0.0,2016-08-08,0.0,53,0.094339624,154.71698
539.0,3.0,6000.0,3,116,2.0,8.0,1.0,0.0,2016-05-01,0.0,52,0.057692308,115.38461
540.0,6.0,12000.0,3,112,2.0,8.0,1.0,0.0,2016-09-01,0.0,84,0.071428575,142.85715
541.0,0.0,0.0,3,168,3.0,9.0,0.0,0.0,,0.0,86,0.0,0.0
542.0,15.0,30000.0,3,130,2.0,8.0,1.0,0.0,2016-07-01,0.0,91,0.16483517,329.67032
543.0,0.0,0.0,3,106,2.0,8.0,0.0,0.0,,0.0,39,0.0,0.0
544.0,0.0,0.0,3,159,3.0,9.0,0.0,0.0,,0.0,76,0.0,0.0
545.0,12.0,42400.0,3,239,3.0,9.0,1.0,0.0,2016-08-01,0.0,87,0.13793103,487.35632
546.0,0.0,0.0,3,56,1.0,7.0,0.0,0.0,,0.0,8,0.0,0.0
547.0,2.0,4000.0,3,116,2.0,8.0,1.0,0.0,2016-09-01,0.0,67,0.029850746,59.701492
548.0,0.0,0.0,3,110,2.0,8.0,0.0,0.0,,0.0,40,0.0,0.0
549.0,0.0,0.0,3,133,2.0,8.0,0.0,0.0,,0.0,42,0.0,0.0
550.0,0.0,0.0,3,183,3.0,9.0,0.0,0.0,,0.0,64,0.0,0.0
551.0,9.0,18000.0,3,205,3.0,9.0,1.0,0.0,2016-04-28,0.0,114,0.078947365,157.89473
552.0,0.0,0.0,3,98,1.0,7.0,1.0,0.0,2016-04-21,0.0,33,0.0,0.0
553.0,0.0,0.0,3,133,2.0,8.0,0.0,0.0,,0.0,137,0.0,0.0
554.0,5.0,10000.0,3,177,3.0,9.0,1.0,0.0,2016-08-02,0.0,65,0.07692308,153.84616
555.0,2.0,500.0,3,106,2.0,8.0,1.0,0.0,2016-10-18,0.0,29,0.06896552,17.241379
556.0,10.0,24600.0,3,50,1.0,7.0,1.0,0.0,2016-07-15,0.0,32,0.3125,768.75
557.0,0.0,0.0,3,4,1.0,7.0,0.0,0.0,,0.0,38,0.0,0.0
558.0,25.0,140600.0,3,120,2.0,8.0,1.0,0.0,2016-06-28,0.0,113,0.22123894,1244.2478
559.0,0.0,0.0,3,79,1.0,7.0,0.0,0.0,,0.0,58,0.0,0.0
560.0,1.0,2000.0,3,134,3.0,9.0,1.0,0.0,2016-10-24,0.0,48,0.020833334,41.666668
561.0,0.0,0.0,4,45,1.0,10.0,0.0,0.0,,0.0,23,0.0,0.0
562.0,0.0,0.0,3,68,1.0,7.0,1.0,0.0,2016-08-15,0.0,35,0.0,0.0
563.0,32.0,64000.0,3,147,3.0,9.0,1.0,0.0,2016-04-18,0.0,90,0.35555556,711.1111
564.0,0.0,0.0,3,109,2.0,8.0,0.0,0.0,,0.0,47,0.0,0.0
565.0,0.0,0.0,3,108,2.0,8.0,0.0,0.0,,0.0,34,0.0,0.0
566.0,0.0,0.0,4,221,3.0,12.0,0.0,0.0,,0.0,31,0.0,0.0
567.0,9.0,41000.0,4,69,1.0,10.0,1.0,0.0,2016-11-07,0.0,30,0.3,1366.6666
569.0,4.0,23600.0,4,51,1.0,10.0,1.0,0.0,2016-10-18,0.0,23,0.17391305,1026.0869
570.0,3.0,66600.0,4,119,2.0,11.0,1.0,0.0,2016-09-01,0.0,45,0.06666667,1480.0
571.0,11.0,54200.0,4,112,2.0,11.0,1.0,0.0,2016-11-07,0.0,46,0.23913044,1178.2609
572.0,0.0,0.0,4,226,3.0,12.0,0.0,0.0,,0.0,39,0.0,0.0
573.0,0.0,0.0,4,190,3.0,12.0,1.0,0.0,2016-11-08,0.0,56,0.0,0.0
574.0,0.0,0.0,4,166,3.0,11.0,0.0,0.0,,0.0,2,0.0,0.0
575.0,0.0,0.0,4,87,1.0,10.0,1.0,0.0,2016-10-03,0.0,39,0.0,0.0
576.0,0.0,0.0,4,219,3.0,12.0,0.0,0.0,,0.0,42,0.0,0.0
577.0,7.0,14000.0,4,146,2.0,11.0,1.0,0.0,2016-06-27,0.0,56,0.125,250.0
578.0,0.0,0.0,4,159,2.0,11.0,0.0,0.0,,0.0,66,0.0,0.0
579.0,15.0,30000.0,4,192,3.0,12.0,1.0,0.0,2016-05-04,0.0,46,0.32608697,652.1739
580.0,0.0,0.0,4,123,2.0,11.0,0.0,0.0,,0.0,84,0.0,0.0
581.0,0.0,0.0,4,228,3.0,12.0,1.0,0.0,2016-05-02,0.0,56,0.0,0.0
582.0,0.0,0.0,4,177,2.0,11.0,0.0,0.0,,0.0,38,0.0,0.0
583.0,6.0,11500.0,4,137,2.0,11.0,1.0,0.0,2016-10-08,0.0,40,0.15,287.5
584.0,3.0,10600.0,4,190,3.0,12.0,1.0,0.0,2016-08-02,0.0,76,0.039473683,139.47368
585.0,10.0,52200.0,4,89,1.0,10.0,1.0,0.0,2016-11-12,0.0,46,0.2173913,1134.7826
586.0,0.0,0.0,4,99,1.0,10.0,0.0,0.0,,0.0,28,0.0,0.0
587.0,0.0,0.0,4,270,3.0,12.0,0.0,0.0,,0.0,203,0.0,0.0
588.0,3.0,10600.0,4,190,3.0,12.0,1.0,0.0,2016-11-03,0.0,58,0.05172414,182.75862
589.0,0.0,0.0,4,104,1.0,10.0,0.0,0.0,,0.0,53,0.0,0.0
590.0,7.0,14000.0,4,194,3.0,12.0,1.0,0.0,2016-11-07,0.0,128,0.0546875,109.375
591.0,9.0,18000.0,4,218,3.0,12.0,1.0,0.0,2016-05-02,0.0,93,0.09677419,193.54839
592.0,17.0,72700.0,4,218,3.0,12.0,1.0,0.0,2016-07-01,0.0,86,0.19767442,845.3488
593.0,0.0,0.0,4,122,2.0,11.0,0.0,0.0,,0.0,109,0.0,0.0
594.0,0.0,0.0,4,183,3.0,12.0,0.0,0.0,,0.0,91,0.0,0.0
595.0,0.0,0.0,4,74,1.0,10.0,0.0,0.0,,0.0,125,0.0,0.0
596.0,8.0,16000.0,4,188,3.0,12.0,1.0,0.0,2016-10-03,0.0,119,0.067226894,134.45378
597.0,13.0,44400.0,4,78,1.0,10.0,1.0,0.0,2016-10-18,0.0,63,0.20634921,704.7619
598.0,11.0,26600.0,4,82,1.0,10.0,1.0,0.0,2016-09-16,0.0,151,0.07284768,176.15894
599.0,3.0,6000.0,4,153,2.0,11.0,1.0,0.0,2016-09-13,0.0,101,0.02970297,59.40594
600.0,18.0,38600.0,4,99,1.0,10.0,1.0,0.0,2016-06-20,0.0,74,0.24324325,521.62164
601.0,24.0,80200.0,4,76,1.0,10.0,1.0,0.0,2016-05-02,0.0,89,0.26966292,901.1236
602.0,0.0,0.0,4,81,1.0,10.0,0.0,0.0,,0.0,31,0.0,0.0
603.0,0.0,0.0,4,235,3.0,12.0,0.0,0.0,,0.0,61,0.0,0.0
604.0,8.0,29800.0,4,151,2.0,11.0,1.0,0.0,2016-06-16,0.0,57,0.14035088,522.807
