a7,tot_compounds,tot_s1_repeats,target_surveys,prob,skip,Ordre,today,DateTerminée,Obs,program,nganza,num_poly
447.0,145,3,5.0,0.03448276,7.0,27.0,2016-12-27,,,1.0,1.0,1.0
448.0,76,0,8.0,0.10526316,4.0,1.0,2016-05-24,,,1.0,1.0,1.0
449.0,200,2,6.0,0.03,10.0,10.0,2016-07-29,,,1.0,1.0,1.0
450.0,99,3,5.0,0.05050505,5.0,15.0,2016-10-10,,,1.0,1.0,1.0
451.0,141,3,5.0,0.035460994,7.0,26.0,2016-12-17,,,1.0,1.0,1.0
452.0,134,3,5.0,0.03731343,7.0,16.0,2016-11-05,,,1.0,1.0,1.0
453.0,186,5,5.0,0.02688172,9.0,15.0,2016-08-30,,,0.0,1.0,1.0
454.0,98,3,5.0,0.05102041,5.0,4.0,2016-06-10,,,1.0,1.0,1.0
455.0,115,3,5.0,0.04347826,6.0,10.0,2016-08-11,,,1.0,1.0,1.0
456.0,154,4,5.0,0.032467533,8.0,13.0,2016-08-31,,,0.0,1.0,1.0
457.0,131,1,7.0,0.053435113,7.0,9.0,2016-08-12,,,0.0,1.0,1.0
458.0,108,1,7.0,0.06481481,5.0,27.0,2016-12-09,,,0.0,1.0,1.0
459.0,136,2,6.0,0.04411765,7.0,24.0,2016-12-02,,,0.0,1.0,1.0
460.0,130,3,5.0,0.03846154,7.0,14.0,2016-10-05,,,0.0,1.0,1.0
461.0,70,4,5.0,0.071428575,4.0,24.0,2016-11-29,,,1.0,1.0,1.0
462.0,297,5,5.0,0.016835017,15.0,12.0,2016-08-09,,,1.0,1.0,1.0
463.0,314,3,5.0,0.015923567,16.0,6.0,2016-09-14,,,0.0,1.0,1.0
464.0,246,3,5.0,0.020325202,12.0,21.0,2016-11-25,,,1.0,1.0,1.0
465.0,300,2,6.0,0.02,15.0,17.0,2016-11-10,,,1.0,1.0,1.0
466.0,172,4,5.0,0.029069768,9.0,15.0,2016-10-11,,,0.0,1.0,1.0
467.0,98,5,5.0,0.05102041,5.0,18.0,2016-10-21,,,0.0,1.0,1.0
468.0,99,4,5.0,0.05050505,5.0,20.0,2016-11-01,,,0.0,1.0,1.0
469.0,194,3,5.0,0.025773196,10.0,18.0,2016-10-26,,,0.0,1.0,1.0
470.0,112,3,5.0,0.04464286,6.0,21.0,2016-11-09,,,1.0,1.0,1.0
500.0,143,3,5.0,0.034965035,7.0,26.0,2016-12-03,,,1.0,0.0,1.0
501.0,231,4,5.0,0.021645023,12.0,2.0,2016-07-16,,,0.0,0.0,1.0
502.0,72,4,5.0,0.06944445,4.0,4.0,2016-07-19,,,1.0,0.0,1.0
503.0,143,2,6.0,0.04195804,7.0,23.0,2016-11-15,,,0.0,0.0,1.0
504.0,129,3,5.0,0.03875969,6.0,7.0,2016-08-22,,,1.0,0.0,1.0
505.0,150,4,5.0,0.033333335,8.0,20.0,2016-11-23,,,1.0,0.0,1.0
506.0,150,1,7.0,0.046666667,8.0,2.0,2016-06-09,,,1.0,0.0,1.0
507.0,172,2,6.0,0.034883723,9.0,2.0,2016-06-30,,,1.0,0.0,1.0
508.0,270,2,6.0,0.022222223,14.0,21.0,2016-11-17,,,1.0,0.0,1.0
509.0,192,1,7.0,0.036458332,10.0,16.0,2016-10-31,,,0.0,0.0,1.0
510.0,57,5,5.0,0.0877193,3.0,9.0,2016-09-09,,,1.0,0.0,1.0
511.0,138,3,5.0,0.036231883,7.0,20.0,2016-11-09,,,0.0,0.0,1.0
512.0,190,5,5.0,0.02631579,10.0,11.0,2016-10-01,,,0.0,0.0,1.0
513.0,134,5,5.0,0.03731343,7.0,17.0,2016-11-12,,,0.0,0.0,1.0
514.0,63,3,5.0,0.07936508,3.0,17.0,2016-11-01,,,1.0,0.0,1.0
515.0,75,2,6.0,0.08,4.0,18.0,2016-11-04,,,0.0,0.0,1.0
516.0,55,4,5.0,0.09090909,3.0,24.0,2016-12-13,,,1.0,0.0,1.0
517.0,175,2,6.0,0.034285713,9.0,24.0,2016-11-18,,,0.0,0.0,1.0
518.0,277,1,7.0,0.025270758,14.0,6.0,2016-07-28,,,0.0,0.0,1.0
520.0,32,0,8.0,0.25,2.0,9.0,2016-09-21,,,0.0,0.0,1.0
521.0,61,0,8.0,0.13114753,3.0,9.0,2016-08-29,,,1.0,0.0,1.0
522.0,159,1,7.0,0.044025157,8.0,5.0,2016-08-06,,,0.0,0.0,1.0
523.0,130,3,5.0,0.03846154,7.0,2.0,2016-06-23,,,1.0,0.0,1.0
524.0,127,5,5.0,0.03937008,6.0,16.0,2016-09-23,,,1.0,0.0,1.0
525.0,150,1,7.0,0.046666667,8.0,26.0,2016-12-16,,,1.0,0.0,1.0
526.0,134,4,5.0,0.03731343,7.0,12.0,2016-09-20,,,1.0,0.0,1.0
527.0,107,1,7.0,0.06542056,5.0,22.0,2016-11-28,,,1.0,0.0,1.0
528.0,227,4,5.0,0.02202643,11.0,19.0,2016-11-08,,,1.0,0.0,1.0
529.0,149,3,5.0,0.033557046,7.0,14.0,2016-10-12,,,1.0,0.0,1.0
530.0,269,5,5.0,0.01858736,13.0,3.0,2016-05-27,,,1.0,0.0,1.0
531.0,91,2,6.0,0.06593407,5.0,6.0,2016-07-23,,,0.0,0.0,1.0
532.0,257,5,5.0,0.019455252,13.0,14.0,2016-10-08,,,1.0,0.0,1.0
533.0,195,3,5.0,0.025641026,10.0,14.0,2016-10-07,,,1.0,0.0,1.0
534.0,150,5,5.0,0.033333335,8.0,17.0,2016-11-07,,,0.0,0.0,1.0
535.0,74,3,5.0,0.067567565,4.0,4.0,2016-07-13,,,1.0,0.0,1.0
536.0,162,4,5.0,0.030864198,8.0,15.0,2016-10-12,,,1.0,0.0,1.0
537.0,308,4,5.0,0.016233766,15.0,12.0,2016-08-29,,,1.0,0.0,1.0
538.0,92,4,5.0,0.054347824,5.0,13.0,2016-09-30,,,1.0,0.0,1.0
539.0,124,5,5.0,0.04032258,6.0,3.0,2016-06-07,,,1.0,0.0,1.0
540.0,124,4,5.0,0.04032258,6.0,26.0,2016-12-07,,,1.0,0.0,1.0
541.0,126,1,7.0,0.055555556,6.0,20.0,2016-11-16,,,0.0,0.0,1.0
542.0,142,3,5.0,0.03521127,7.0,25.0,2016-12-09,,,1.0,0.0,1.0
543.0,92,1,7.0,0.07608695,5.0,20.0,2016-11-09,,,0.0,0.0,1.0
544.0,196,1,7.0,0.035714287,10.0,5.0,2016-07-20,,,0.0,0.0,1.0
545.0,135,3,5.0,0.037037037,7.0,12.0,2016-09-26,,,1.0,0.0,1.0
546.0,18,3,5.0,0.2777778,1.0,8.0,2016-10-12,,,0.0,0.0,1.0
547.0,106,4,5.0,0.047169812,5.0,18.0,2016-10-19,,,1.0,0.0,1.0
