a7,treatment,month,chef_code,agent1_code,agent2_code,agent_code,chef_group,order_for_assigning
675.0,2.0,7.0,6732.0,,,,,2.0
215.0,2.0,7.0,21589.0,,,,,3.0
363.0,3.0,2.0,36589.0,17.0,16.0,,,4.0
336.0,3.0,2.0,3196.0,17.0,16.0,,,4.0
643.0,3.0,2.0,6448.0,55.0,89.0,,,9.0
100.0,3.0,2.0,1001.0,55.0,89.0,,,9.0
511.0,3.0,2.0,51194.0,8.0,38.0,,,2.0
631.0,3.0,2.0,628124.0,8.0,38.0,,,2.0
607.0,3.0,2.0,61349.0,19.0,54.0,,,15.0
502.0,3.0,2.0,30546.0,19.0,54.0,,,15.0
683.0,3.0,2.0,68385.0,46.0,9.0,,,10.0
223.0,3.0,2.0,22387.0,46.0,9.0,,,10.0
125.0,3.0,2.0,1166.0,26.0,108.0,,,3.0
549.0,3.0,2.0,55048.0,26.0,108.0,,,3.0
605.0,3.0,2.0,60591.0,32.0,40.0,,,13.0
523.0,3.0,2.0,52340.0,32.0,40.0,,,13.0
372.0,3.0,2.0,37232.0,67.0,88.0,,,5.0
373.0,3.0,2.0,3714.0,67.0,88.0,,,5.0
550.0,3.0,2.0,55048.0,100.0,109.0,,,1.0
516.0,3.0,2.0,51611.0,100.0,109.0,,,1.0
239.0,3.0,2.0,23845.0,30.0,71.0,,,6.0
115.0,3.0,2.0,11594.0,30.0,71.0,,,6.0
328.0,3.0,2.0,32889.0,14.0,80.0,,,11.0
350.0,3.0,2.0,35087.0,14.0,80.0,,,11.0
529.0,3.0,2.0,5333.0,18.0,75.0,,,12.0
671.0,3.0,2.0,670103.0,18.0,75.0,,,12.0
579.0,3.0,2.0,58210.0,74.0,62.0,,,14.0
355.0,3.0,2.0,3552.0,74.0,62.0,,,14.0
555.0,3.0,2.0,55544.0,25.0,22.0,,,7.0
548.0,3.0,2.0,54744.0,25.0,22.0,,,7.0
531.0,3.0,2.0,5333.0,1.0,10.0,,,8.0
597.0,3.0,2.0,60184.0,1.0,10.0,,,8.0
6102.0,3.0,4.0,6101077.0,26.0,100.0,,,10.0
704.0,3.0,4.0,70485.0,26.0,100.0,,,10.0
244.0,3.0,4.0,24437.0,16.0,9.0,,,12.0
332.0,3.0,4.0,33295.0,16.0,9.0,,,12.0
235.0,3.0,4.0,23584.0,38.0,80.0,,,9.0
614.0,3.0,4.0,61349.0,38.0,80.0,,,9.0
312.0,3.0,4.0,31249.0,88.0,14.0,,,8.0
305.0,3.0,4.0,31489.0,88.0,14.0,,,8.0
243.0,3.0,4.0,24385.0,54.0,19.0,,,11.0
581.0,3.0,4.0,58210.0,54.0,19.0,,,11.0
105.0,3.0,4.0,10546.0,71.0,67.0,,,15.0
237.0,3.0,4.0,23845.0,71.0,67.0,,,15.0
110.0,3.0,4.0,1136.0,74.0,1.0,,,4.0
122.0,3.0,4.0,12395.0,74.0,1.0,,,4.0
633.0,3.0,4.0,6335.0,55.0,22.0,,,6.0
582.0,3.0,4.0,58210.0,55.0,22.0,,,6.0
230.0,3.0,4.0,22950.0,89.0,62.0,,,3.0
387.0,3.0,4.0,38787.0,89.0,62.0,,,3.0
384.0,3.0,4.0,38788.0,75.0,109.0,,,7.0
524.0,3.0,4.0,5333.0,75.0,109.0,,,7.0
371.0,3.0,4.0,37232.0,18.0,30.0,,,5.0
651.0,3.0,4.0,6543.0,108.0,17.0,,,1.0
525.0,3.0,4.0,5333.0,40.0,32.0,,,14.0
630.0,3.0,4.0,6302.0,40.0,32.0,,,14.0
246.0,3.0,4.0,24644.0,108.0,17.0,,,1.0
103.0,3.0,4.0,10386.0,18.0,30.0,,,5.0
640.0,3.0,4.0,6448.0,10.0,25.0,,,13.0
536.0,3.0,4.0,53594.0,10.0,25.0,,,13.0
315.0,3.0,4.0,31489.0,46.0,8.0,,,2.0
698.0,3.0,4.0,70288.0,46.0,8.0,,,2.0
623.0,3.0,6.0,62344.0,46.0,62.0,,,9.0
642.0,3.0,6.0,6448.0,46.0,62.0,,,9.0
694.0,3.0,6.0,69494.0,10.0,14.0,,,6.0
697.0,3.0,6.0,69647.0,10.0,14.0,,,6.0
638.0,3.0,6.0,63847.0,71.0,25.0,,,2.0
367.0,3.0,6.0,367101.0,71.0,25.0,,,2.0
647.0,3.0,6.0,64590.0,32.0,109.0,,,4.0
344.0,3.0,6.0,34450.0,32.0,109.0,,,4.0
667.0,3.0,6.0,66982.0,16.0,100.0,,,7.0
377.0,3.0,6.0,37890.0,16.0,100.0,,,7.0
608.0,3.0,6.0,60895.0,80.0,26.0,,,5.0
217.0,3.0,6.0,21785.0,80.0,26.0,,,5.0
323.0,3.0,6.0,32276.0,88.0,8.0,,,3.0
218.0,3.0,6.0,22289.0,88.0,8.0,,,3.0
632.0,3.0,6.0,6322.0,1.0,9.0,,,10.0
6103.0,3.0,6.0,6101077.0,1.0,9.0,,,10.0
123.0,3.0,6.0,11789.0,38.0,19.0,,,1.0
229.0,3.0,6.0,22789.0,38.0,19.0,,,1.0
341.0,3.0,6.0,34193.0,74.0,55.0,,,8.0
330.0,3.0,6.0,33089.0,74.0,55.0,,,8.0
385.0,4.0,1.0,38788.0,,,29.0,,8.0
591.0,4.0,1.0,59133.0,,,51.0,,9.0
626.0,4.0,1.0,62048.0,,,23.0,,5.0
381.0,4.0,1.0,38788.0,,,29.0,,8.0
520.0,4.0,1.0,52247.0,,,52.0,,1.0
627.0,4.0,1.0,628124.0,,,5.0,,3.0
565.0,4.0,1.0,5648.0,,,48.0,,2.0
652.0,4.0,1.0,6525.0,,,43.0,,4.0
6092.0,4.0,1.0,60920132.0,,,107.0,,6.0
222.0,4.0,1.0,21845.0,,,73.0,,7.0
619.0,4.0,1.0,62048.0,,,23.0,,5.0
507.0,4.0,2.0,50732.0,,,48.0,,2.0
6104.0,4.0,2.0,6101077.0,,,107.0,,5.0
577.0,4.0,2.0,57688.0,,,73.0,,3.0
557.0,4.0,2.0,55292.0,,,29.0,,9.0
204.0,4.0,2.0,2048.0,,,52.0,,1.0
369.0,4.0,2.0,37052.0,,,5.0,,8.0
554.0,4.0,2.0,55544.0,,,43.0,,7.0
635.0,4.0,2.0,63586.0,,,23.0,,4.0
301.0,4.0,2.0,30186.0,,,51.0,,6.0
