compound1,a7,dist_col1,dist_col2,dist_col_avg,dist_chief,dist_city_center
587106.0,587.0,1.6176805964478826,,1.6176805,,4.236092222411972
587121.0,587.0,1.44797162653594,,1.4479716,,4.321165988779107
587124.0,587.0,1.4233060606243626,,1.4233061,,4.329949525807784
101157.0,101.0,8.588755774380166,,8.588756,,5.217703375194155
676047.0,676.0,6.303204444188337,,6.3032045,,2.106312942442643
587203.0,587.0,1.5440565383791611,,1.5440565,,4.236765927019571
587089.0,587.0,1.6508934391001082,,1.6508934,,4.147646744050824
320115.0,320.0,9.673361534575962,,9.673362,,4.754558098746201
587145.0,587.0,1.4622422096307215,,1.4622422,,4.132901131595573
587206.0,587.0,1.52152233598174,,1.5215223,,4.241320975747637
676097.0,676.0,6.230270278484162,,6.2302704,,2.1407699414293333
101153.0,101.0,8.5961957918654,,8.596196,,5.197814643414948
587166.0,587.0,1.5692656632897406,,1.5692656,,4.158817599537839
320043.0,320.0,9.84246420449969,,9.842464,,4.924896891310737
587003.0,587.0,1.6863340214488902,,1.686334,,4.299765135253531
101128.0,101.0,8.46955937441561,,8.46956,,5.1883287034592005
587030.0,587.0,1.3613406202855056,,1.3613406,,4.339753587737117
587167.0,587.0,1.549922387440997,,1.5499223,,4.16205791765657
587173.0,587.0,1.4042579997071365,,1.404258,,4.19547877807323
587148.0,587.0,1.5368274519918153,,1.5368274,,4.1057964490974035
320064.0,320.0,9.546310881994028,,9.54631,,4.628537199227836
101080.0,101.0,8.627615996484248,,8.627616,,5.431668639244979
589064.0,589.0,1.4694840780187186,,1.4694841,,4.668585375813326
589024.0,589.0,1.4000708748192496,,1.4000709,,4.568402305413574
587100.0,587.0,1.6940001009500376,,1.6940001,,4.203282369473346
676115.0,676.0,6.169130430778904,,6.1691303,,2.1473498333151544
587146.0,587.0,1.4699742243928153,,1.4699743,,4.1500065615688895
587181.0,587.0,1.4194193381427866,,1.4194193,,4.242251869201886
101174.0,101.0,8.405755097661618,,8.405755,,5.102490303081406
676046.0,676.0,6.166089895834507,,6.16609,,2.0915516326877786
589048.0,589.0,1.4518829583983413,,1.451883,,4.506227514961487
101052.0,101.0,8.663952008920836,,8.663952,,5.376769084846056
587023.0,587.0,1.3061861656091924,,1.3061862,,4.4513407578209385
589044.0,589.0,1.4484497933483904,,1.4484499,,4.478922764407426
676044.0,676.0,6.187873921907262,,6.187874,,2.1030914717832414
101125.0,101.0,8.483074266419697,,8.483074,,5.232679638606469
676098.0,676.0,6.218028346497935,,6.2180285,,2.1405350543622315
587150.0,587.0,1.5957426290650552,,1.5957426,,4.079428363999012
101107.0,101.0,8.570325395748647,,8.570326,,5.312763565834379
676109.0,676.0,6.228325159355675,,6.2283254,,2.18441573039782
587151.0,587.0,1.6181745109451684,,1.6181746,,4.089513409376686
587143.0,587.0,1.4498018098317154,,1.4498018,,4.164803192138246
101053.0,101.0,8.661544627903856,,8.661545,,5.359821281787271
589014.0,589.0,1.4353314565588164,,1.4353315,,4.685643347019241
587041.0,587.0,1.2336713794364491,,1.2336714,,4.38189183544151
587084.0,587.0,1.7020299969495758,,1.70203,,4.166054840338564
589034.0,589.0,1.412773924722291,,1.412774,,4.4527440403095815
587103.0,587.0,1.6713720631301403,,1.671372,,4.217464083513651
101105.0,101.0,8.525300743722498,,8.525301,,5.281432726898368
587155.0,587.0,1.5019378938484547,,1.5019379,,4.14214543784986
101108.0,101.0,8.585667305334969,,8.585668,,5.313116657509593
676118.0,676.0,6.150301518765407,,6.1503015,,2.1204507166716806
587154.0,587.0,1.4891375896329473,,1.4891375,,4.134683941842242
101097.0,101.0,8.59223313154503,,8.592233,,5.349484569993279
101020.0,101.0,8.768911846183906,,8.768912,,5.507134745232332
101147.0,101.0,8.666240329465456,,8.666241,,5.299647419778587
676017.0,676.0,6.183793052126559,,6.183793,,2.0404412462782906
320039.0,320.0,9.835859947794114,,9.83586,,4.919055424121898
587144.0,587.0,1.4601725970748622,,1.4601727,,4.16060590055183
587076.0,587.0,1.7475773109711248,,1.7475773,,4.239855280583666
676002.0,676.0,6.060318602141024,,6.0603185,,2.116579087780948
587126.0,587.0,1.3776974663701802,,1.3776975,,4.280252032179739
587133.0,587.0,1.3626061492969357,,1.3626062,,4.230980155955409
676117.0,676.0,6.142262680141472,,6.1422625,,2.1265453906030163
676095.0,676.0,6.238330645661448,,6.238331,,2.1460703579575027
320083.0,320.0,9.622649549243206,,9.622649,,4.7034988974186085
676061.0,676.0,6.481954166224917,,6.481954,,2.2613535187567533
676116.0,676.0,6.17489861393934,,6.1748986,,2.148567319359349
320119.0,320.0,9.671406456836118,,9.671407,,4.751962913178628
101138.0,101.0,8.597249267240134,,8.597249,,5.243274067523066
101007.0,101.0,8.649679297796782,,8.649679,,5.465877645333437
587158.0,587.0,1.565863918380698,,1.565864,,4.146463412388206
587194.0,587.0,1.5747714267391582,,1.5747714,,4.18822350638379
101063.0,101.0,8.604539308493287,,8.604539,,5.266115205085892
676076.0,676.0,6.3543712802004535,,6.354371,,2.1357754779614586
101142.0,101.0,8.640571456053802,,8.640572,,5.2807792161236975
320001.0,320.0,9.50561006115159,,9.50561,,4.589153825925169
676114.0,676.0,6.186402876327372,,6.186403,,2.159128206843663
320015.0,320.0,9.647805815229594,,9.647806,,4.734238555664345
589091.0,589.0,1.5178524733112406,,1.5178524,,4.6005996933291895
587051.0,587.0,1.4936999182808322,,1.4936999,,4.351768870380067
589011.0,589.0,1.4460218198456156,,1.4460218,,4.717331168382502
587169.0,587.0,1.5115082588036508,,1.5115082,,4.156673731542104
589022.0,589.0,1.4024263597118576,,1.4024264,,4.602258694148028
320040.0,320.0,9.790755781219774,,9.790756,,4.873657499165161
587027.0,587.0,1.3431308776782334,,1.3431308,,4.385286436885006
320025.0,320.0,9.71080794963376,,9.710808,,4.796573953127713
587062.0,587.0,1.614250615394611,,1.6142507,,4.269921240572262
589056.0,589.0,1.4664651305479326,,1.4664651,,4.579129548923427
587214.0,587.0,1.4267795527430944,,1.4267795,,4.274237879940683
676030.0,676.0,6.275414955302655,,6.275415,,2.1168994194431225
587159.0,587.0,1.5755936086435312,,1.5755936,,4.120265701017085
101112.0,101.0,8.596276924675879,,8.596277,,5.297640391566293
589038.0,589.0,1.4399621518685048,,1.4399621,,4.409516208466764
676122.0,676.0,6.112400956045631,,6.112401,,2.126072510890928
587156.0,587.0,1.5387879927969452,,1.538788,,4.14173451054339
587049.0,587.0,1.4626005198275076,,1.4626005,,4.342983510437323
101034.0,101.0,8.72739367344498,,8.727394,,5.406799442341804
320038.0,320.0,9.814806944540443,,9.814807,,4.897770364551483
320075.0,320.0,9.633221056174632,,9.633221,,4.714507900891109
101106.0,101.0,8.53735516325515,,8.537355,,5.288402131032395
587029.0,587.0,1.3576024552564032,,1.3576025,,4.370370351934146
676106.0,676.0,6.215830127861307,,6.2158303,,2.1660653978620648
587080.0,587.0,1.720749340934492,,1.7207494,,4.193353643520267
320057.0,320.0,9.651598595597616,,9.651599,,4.733836624498167
676041.0,676.0,6.196825733340503,,6.1968255,,2.099667833661644
101054.0,101.0,8.63652056686618,,8.63652,,5.345169380913941
587017.0,587.0,1.4082352082924232,,1.4082352,,4.413641817686748
676104.0,676.0,6.202613442014455,,6.2026134,,2.13810446916216
589092.0,589.0,1.5125077451030278,,1.5125078,,4.579507793801695
587191.0,587.0,1.5111751050363607,,1.5111752,,4.199582781245046
587060.0,587.0,1.6014216695289114,,1.6014217,,4.27809402847316
101068.0,101.0,8.617340856347038,,8.617341,,5.324726962793941
101154.0,101.0,8.605132144975316,,8.605132,,5.218211709861527
676089.0,676.0,6.285650583877913,,6.2856507,,2.1644018903944624
